,algoritmo,train_method,normalizacao,selecao_feat,dataset_treino,dataset_test,acuracia,precisao,recall,f1
114,Knn,Grid Search 3 folds,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.7916363636363636,0.8338189386056192,0.7284545454545455,0.7775836972343523
115,Knn,Holdout,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.7105,0.7921766561514195,0.5707272727272727,0.6634610303830911
116,Knn,Holdout,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.7109545454545455,0.7944423296535973,0.5691818181818182,0.6632063979662094
117,Knn,Holdout,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.7124545454545455,0.7962728194726166,0.571,0.6650783566285471
118,Knn,Holdout,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.7073181818181818,0.7906206193449726,0.564,0.6583541147132169
119,Knn,Holdout,-,Abs Correlation 20,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.7130909090909091,0.7935871743486974,0.576,0.6675094816687737
120,Knn,Grid Search 3 folds,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.46286363636363637,0.43039700119270746,0.22963636363636364,0.29948426107060294
121,Knn,Grid Search 3 folds,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.46436363636363637,0.43232044198895025,0.22763636363636364,0.29823725583611244
122,Knn,Grid Search 3 folds,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.4587727272727273,0.422438857533778,0.22454545454545455,0.2932272808215113
123,Knn,Grid Search 3 folds,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.4601363636363636,0.4233793464965927,0.22027272727272726,0.2897805417688214
124,Knn,Grid Search 3 folds,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.4639090909090909,0.4316695352839931,0.228,0.2983938132064248
125,Knn,Holdout,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.4617727272727273,0.4283523598568751,0.22854545454545455,0.2980615329895074
126,Knn,Holdout,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.4667272727272727,0.4370485036119711,0.231,0.30224812656119904
127,Knn,Holdout,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.4612727272727273,0.426979773740144,0.22645454545454546,0.2959486752999882
128,Knn,Holdout,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.4600909090909091,0.42423196410079395,0.22345454545454546,0.2927235917589615
129,Knn,Holdout,-,Mutual information 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.46395454545454545,0.43248765537204154,0.2309090909090909,0.30107271972974575
130,Knn,Grid Search 3 folds,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.7870909090909091,0.8630719705679466,0.6824545454545454,0.7622093613564829
131,Knn,Grid Search 3 folds,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.787409090909091,0.8678301337987202,0.6780909090909091,0.7613166624138812
132,Knn,Grid Search 3 folds,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.7894545454545454,0.8659770114942529,0.6849090909090909,0.7648730964467004
133,Knn,Grid Search 3 folds,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.7885454545454545,0.8680426716141002,0.6805454545454546,0.7629433346922136
134,Knn,Grid Search 3 folds,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.7825454545454545,0.8631689647113812,0.6715454545454546,0.7553942120871255
135,Knn,Holdout,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.7857727272727273,0.8575816175634171,0.6853636363636364,0.7618614521752312
136,Knn,Holdout,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.7881363636363636,0.8642684748879439,0.6836363636363636,0.7634130247195573
137,Knn,Holdout,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.7909090909090909,0.8642987249544627,0.6901818181818182,0.7674888799029519
138,Knn,Holdout,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.7893636363636364,0.863439141356474,0.6874545454545454,0.7654620913047879
139,Knn,Holdout,-,Importance 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.7822727272727272,0.857225034514496,0.6773636363636364,0.7567540117814341
140,Knn,Grid Search 3 folds,-,Abs Correlation 30,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.7729545454545454,0.822606640163318,0.696,0.7540257054217757
